timestamp,P_L.9.IS_Light,P_L.9.NE_Light,P_L.9.NW_Light,P_L.9.N_Light,P_L.9.SE_Light,P_L.9.SW_Light,P_L.9.S_Light,P_L.9.W_Light
7/31/15 13:00,1.766763333,3.013356667,3.328553333,3.331243333,2.23665,3.314653333,3.304726667,3.071906667
7/31/15 14:00,1.838043333,2.744023333,3.182346667,3.17008,2.219456667,2.96469,2.92926,2.823326667
7/31/15 15:00,1.750193333,2.64589,2.895706667,2.935076667,2.01867,2.859573333,2.938633333,2.822646667
7/31/15 16:00,1.67625,2.40294,2.751876667,2.786096667,1.763396667,2.79098,2.934486667,2.67898
7/31/15 17:00,1.67353,2.11898,2.612506667,2.68965,0.723876667,1.97731,2.63207,2.269416667
7/31/15 18:00,1.647036667,1.687033333,2.09371,2.151216667,0.947413333,1.66501,2.417963333,2.04711
7/31/15 19:00,1.614023333,1.57914,1.984143333,2.21504,0.718003333,1.607383333,2.283943333,2.065273333
7/31/15 20:00,1.586326667,1.595363333,1.634733333,2.476796667,1.006906667,1.351993333,1.91555,1.91261
7/31/15 21:00,1.514646667,1.146563333,1.210703333,1.92434,0.262803333,0.934253333,1.86086,1.724736667
7/31/15 22:00,1.306876667,1.059843333,1.47996,2.028663333,0.680273333,0.630586667,1.977216667,1.32742
7/31/15 23:00,0.98738,0.9418,1.435,1.049646667,0.382386667,0.433083333,1.5709,0.69712
8/1/15 0:00,0.783006667,0.459646667,0.518903333,0.532223333,0.119063333,0.44781,0.749113333,0.84636
8/1/15 1:00,0.600666667,0.306016667,0.71289,0.462663333,0.099136667,0.401253333,0.301086667,0.381916667
8/1/15 2:00,0.62915,0.201793333,0.736133333,0.432193333,0.063356667,0,0.395113333,0.183126667
8/1/15 3:00,0.34613,0,0.446133333,0.278206667,0.09426,0,0.21567,0
8/1/15 4:00,0.42652,0.186756667,0.33871,0.475306667,0.063433333,0.010156667,0.384026667,0
8/1/15 5:00,0.344023333,0,0,0.263246667,0.093716667,0.01008,0.217453333,0
8/1/15 6:00,0.502383333,0,0,0.27579,0.19972,0.025236667,0.301176667,0
8/1/15 7:00,0.345936667,0,0,0.275976667,0.083436667,0.025346667,0,0
8/1/15 8:00,0.344523333,0,0,0.21355,0.08859,0.020233333,0,0
8/1/15 9:00,0.343393333,0,0,0.272573333,0.08922,0.020196667,0,0
8/1/15 10:00,0.57168,0.1275,0.048673333,0.27886,0.098086667,0.070353333,0.067536667,0.086406667
8/1/15 11:00,0.488123333,0.344963333,0.04664,0.361553333,0.177693333,0.458363333,0.419493333,0.310193333
8/1/15 12:00,6.857733333,1.233363333,0.53602,0.944306667,0.411913333,0.434456667,0.095076667,0.23324
8/1/15 13:00,1.44324,1.887583333,1.125823333,0.985203333,0.917383333,1.162073333,0.82371,0.87546
8/1/15 14:00,1.66703,1.92738,2.107693333,1.83957,1.87676,1.636406667,1.403673333,1.441093333
8/1/15 15:00,3.90246,2.25746,2.463316667,2.513553333,2.329073333,2.66508,2.316483333,2.25989
8/1/15 16:00,2.56337,2.662696667,2.890306667,3.093786667,2.63668,3.076176667,2.965356667,2.85941
8/1/15 17:00,1.769186667,3.2714,3.058173333,3.253206667,2.851956667,3.313716667,3.13332,3.128716667
8/1/15 18:00,4.369506667,3.35304,3.223866667,3.533273333,3.071876667,3.213003333,3.09395,3.34078
8/1/15 19:00,2.430966667,3.389836667,3.207893333,3.662733333,2.909683333,3.324836667,3.239803333,3.32879
8/1/15 20:00,1.871483333,3.452736667,3.446056667,3.678013333,2.839683333,3.487073333,3.594683333,3.33074
8/1/15 21:00,3.096523333,3.285043333,3.420206667,3.670393333,3.049696667,3.577813333,3.586126667,3.40621
8/1/15 22:00,2.18378,3.266483333,3.290196667,3.456606667,3.27129,3.475156667,3.489373333,3.323796667
8/1/15 23:00,2.34269,3.316406667,3.294573333,3.633633333,3.262893333,3.441046667,3.507973333,3.31887
8/2/15 0:00,3.221406667,3.200546667,3.068283333,3.557506667,2.908903333,3.305086667,3.380786667,3.243396667
8/2/15 1:00,1.68605,3.215673333,3.261726667,3.316476667,3.055356667,3.423943333,3.418323333,3.200746667
8/2/15 2:00,3.955833333,2.932846667,3.24566,3.521403333,3.35558,3.384296667,3.527696667,3.51242
8/2/15 3:00,2.915076667,3.155583333,3.41539,3.390196667,3.39082,3.469223333,3.600536667,3.618043333
8/2/15 4:00,1.789643333,3.180513333,3.266446667,3.38051,3.337893333,3.479726667,3.379876667,3.5796
8/2/15 5:00,2.40622,3.345983333,3.189646667,3.39625,3.286713333,3.57926,3.36242,3.41524
8/2/15 6:00,2.754446667,3.301256667,3.124803333,3.577536667,3.057533333,3.404386667,3.373006667,3.334253333
8/2/15 7:00,2.019413333,3.266683333,3.119533333,3.745536667,2.966023333,3.3991,3.280123333,3.26215
8/2/15 8:00,2.501916667,3.398713333,3.038323333,3.495036667,2.99891,3.628046667,3.290113333,3.37426
8/2/15 9:00,2.592693333,3.362463333,3.089133333,3.528366667,2.92672,3.54469,3.37527,3.461406667
8/2/15 10:00,1.90832,3.454376667,3.104573333,3.662103333,3.067883333,3.38781,3.341253333,3.57113
8/2/15 11:00,2.761993333,3.425423333,2.99633,3.660783333,3.030193333,3.197966667,3.155496667,3.346056667
8/2/15 12:00,1.719763333,3.19515,2.96805,3.640186667,2.6164,3.088943333,3.221066667,3.57644
8/2/15 13:00,1.66868,3.18711,2.911946667,3.653943333,2.321326667,3.060466667,3.196173333,3.463553333
8/2/15 14:00,1.674293333,2.83437,2.538666667,3.490473333,2.590713333,2.949066667,3.063753333,2.99004
8/2/15 15:00,1.675283333,2.641443333,2.488993333,3.476883333,2.38832,2.786416667,2.96445,2.708793333
8/2/15 16:00,1.67227,2.400353333,2.420973333,3.353013333,1.836943333,2.572776667,3.05551,2.54265
8/2/15 17:00,1.671956667,2.09683,2.2693,3.03028,1.22346,2.40039,2.753523333,1.896876667
8/2/15 18:00,1.63852,2.231553333,1.52872,2.547466667,1.074373333,2.173756667,2.65085,1.634176667
8/2/15 19:00,1.643593333,1.95879,1.54731,2.19671,0.940593333,1.37914,2.387466667,1.349453333
8/2/15 20:00,1.640516667,2.073006667,1.440426667,2.442606667,0.25921,1.367386667,2.057726667,1.524056667
8/2/15 21:00,1.61091,1.306096667,0.97086,2.261016667,0.663163333,1.161993333,2.27062,1.29136
8/2/15 22:00,1.501373333,1.4702,1.073666667,2.016763333,0.619456667,0.90757,1.87457,1.44691
8/2/15 23:00,1.329116667,0.839646667,0.72949,0.888793333,0.40281,0.701796667,1.576756667,1.266713333
8/3/15 0:00,0.76297,0.415743333,0.293903333,0.385436667,0.12891,0.560193333,0.69867,0.16094
8/3/15 1:00,0.347423333,0.33641,0.250433333,0.454536667,0.07945,0.428633333,0.39813,0
8/3/15 2:00,0.578236667,0.311996667,0.28528,0.338246667,0.074293333,0.581883333,0.40645,0.10121
8/3/15 3:00,0.45225,0.342383333,0,0.30278,0.072966667,0.225503333,0.384026667,0
8/3/15 4:00,0.397383333,0.01543,0,0.213746667,0.073236667,0.80411,0.312813333,0.036093333
8/3/15 5:00,0.42593,0.138633333,0,0.215113333,0.083593333,0.28469,0,0.063283333
8/3/15 6:00,0.631683333,0.120976667,0,0.212186667,0.068196667,0.222616667,0,0
8/3/15 7:00,0.346403333,0,0,0.2154,0.07879,0.223936667,0,0
8/3/15 8:00,0.642933333,0.109533333,0,0.214096667,0.0786,0.223546667,0,0
8/3/15 9:00,0.346393333,0,0,0.210656667,0.078393333,0.22284,0,0
8/3/15 10:00,0.653823333,0.122073333,0,0.314646667,0.072653333,0.221166667,0,0
8/3/15 11:00,0.883513333,0.122543333,0.603013333,0.686166667,0.366793333,0.558946667,0.333086667,0.34918
8/3/15 12:00,6.707963333,0.526326667,0.391403333,0.52692,0.478513333,0.76336,0.397033333,0.37602
8/3/15 13:00,4.815776667,1.595663333,1.400826667,1.274063333,1.225856667,1.236523333,0.79773,0.81918
8/3/15 14:00,3.815306667,1.906013333,2.045493333,1.561483333,1.885166667,1.7932,1.362973333,1.46511
8/3/15 15:00,1.670353333,2.439723333,2.36585,2.539493333,2.331796667,2.411056667,2.56949,2.33203
8/3/15 16:00,2.683516667,2.75593,2.76516,3.076676667,2.618396667,3.069556667,3.1039,2.950386667
8/3/15 17:00,4.360226667,2.80215,3.04125,3.3718,3.201913333,3.400426667,3.26093,3.134806667
8/3/15 18:00,4.27304,2.77375,2.913436667,3.651953333,2.980236667,3.298906667,3.34934,3.218366667
8/3/15 19:00,1.96301,2.81258,2.81578,3.596876667,2.955393333,3.209056667,3.30508,3.312153333
8/3/15 20:00,2.595226667,3.194223333,2.781563333,3.6787,2.97211,3.189923333,3.40711,3.264843333
8/3/15 21:00,2.328086667,3.303906667,3.058436667,3.256396667,2.943946667,3.393,3.45165,3.173393333
